ratio,transmission,normalized,ymin,ymax,voltage,d_preciptator_nm,z_140nm,zstar,legend,legend2,legend3
0.008203579717886,0.921674974191012,0.969407684681498,0.897636059149015,1.04117931021398,11,11.3183305821917,1.38211998310773E-08,1.68477668364003E-06,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.017152939409807,0.884019011499262,0.929801553854844,0.858567786296457,1.00103532141323,23,16.4791681756383,1.38211998310773E-08,8.0576276175586E-07,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.045492578434705,0.792098155303987,0.833120199935674,0.767630281449182,0.898610118422167,61,27.2263815668348,1.38211998310773E-08,3.03812188858777E-07,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.064137077794343,0.750187435484607,0.789038961970955,0.727452534660619,0.850625389281292,86,32.5604919442413,1.38211998310773E-08,2.15494692093634E-07,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.107392316306775,0.629542799799563,0.662146250089161,0.608464468235005,0.715828031943316,144,42.7137525991308,1.38211998310773E-08,1.28698218889291E-07,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.159596914508755,0.540489197779235,0.568480642836617,0.521569331711893,0.61539195396134,214,52.7827234842506,1.38211998310773E-08,8.66006706559421E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.218513532481768,0.429877858734276,0.452140842922649,0.417245022719846,0.487036663125452,293,62.5819889301251,1.38211998310773E-08,6.32510017759678E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.28265061027512,0.350075248422465,0.368205327843902,0.334884265042904,0.401526390644901,379,72.0901952684073,1.38211998310773E-08,4.88985317159737E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.351262367919711,0.277725628985399,0.292108787273693,0.264421326481467,0.319796248065919,471,81.366668262644,1.38211998310773E-08,3.93472261572763E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.423603025425993,0.206050077713041,0.216721224246721,0.19478836974229,0.238654078751153,568,90.4351529493867,1.38211998310773E-08,3.26277174653748E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.498926802840579,0.152821589480279,0.160736080913401,0.143576274070996,0.177895887755805,669,99.3002361754895,1.38211998310773E-08,2.77018587744494E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.577233700147891,0.115759340366954,0.121754411552602,0.107517195828819,0.135991627276384,774,108.036150292081,1.38211998310773E-08,2.39438546771198E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.657777937377444,0.068602773288453,0.072155648659834,0.062299992737599,0.082011304582069,882,116.618082987241,1.38211998310773E-08,2.10119541044236E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.739067954572975,0.045177793553373,0.047517510482516,0.03999382028213,0.055041200682903,991,124.944099098024,1.38211998310773E-08,1.87008511809486E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.780831633136703,0.03015952465759,0.031721459069745,0.02570692650356,0.03773599163593,1047,129.110560623974,1.38211998310773E-08,1.77006146325754E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.822595311700161,0.022093401145009,0.02323759834048,0.01826726228457,0.028207934396391,1103,133.210336215584,1.38211998310773E-08,1.680194335476E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.865104770237771,0.017795228773026,0.018716827521956,0.014386724606607,0.023046930437304,1160,137.320612209873,1.38211998310773E-08,1.59763306209473E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.907614228775113,0.009160199441521,0.009634597857689,0.006834502264673,0.012434693450705,1217,141.372761419548,1.38211998310773E-08,1.52280554809392E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.992633145858818,0.004189929971005,0.004406922641829,0.002397261977623,0.006416583306035,1331,149.320396137966,1.38211998310773E-08,1.39237742450352E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
1.0791436228748,0.002635726240978,0.002772228111069,0.001424808046681,0.004119648175456,1447,157.218666667034,1.38211998310773E-08,1.28075629027563E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
1.166399879883,0.000790260015692,0.000831186864742,0.000132333775785,0.001530039953698,1564,165.018211279066,1.38211998310773E-08,1.18494523785991E-08,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0,0.950760953059529,1,1,1,0,0,1.38211998310773E-08,0,"150 nm, qc = 1 L/min",150 nm,qc = 1 L/min
0.016700035202806,0.864697576670337,0.982376845464762,0.941471279542858,1.02328241138667,20,15.343638135946,1.54747064591103E-08,9.2662717600203E-07,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.033400070405594,0.828539422120057,0.941297819961175,0.90022247732157,0.982373162600779,40,21.8899394359127,1.54747064591103E-08,4.63313588001262E-07,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.050100105608405,0.788780224719603,0.896127674959878,0.858201695799175,0.934053654120582,60,26.9938558432839,1.54747064591103E-08,3.08875725334087E-07,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.066800140809987,0.729360676568906,0.828621543514482,0.79133825759202,0.865904829436944,80,31.3531168028668,1.54747064591103E-08,2.31656794004792E-07,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
0.083500176013944,0.684383507511304,0.777523297550983,0.742736756497307,0.812309838604659,100,35.2377470663081,1.54747064591103E-08,1.85325435200593E-07,"140 nm, qc = 1 L/min",140 nm,qc = 1 L/min
